H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
PSP15	Hs09	Min02	141645	144464	-0.009852888	-0.009852888	0.009781588	-1.007289
PSP20	Hs09	Min02	145562	141196	0.01522538	0.01522538	0.009691527	1.570999
Hs01	Hs09	Min02	141634	141232	0.001421168	0.001421168	0.01004398	0.1414944
Hs02	Hs09	Min02	146023	141501	0.01572738	0.01572738	0.01210175	1.299596
Hs03	Hs09	Min02	146123	139957	0.02155341	0.02155341	0.009326904	2.310886
Hs04	Hs09	Min02	139597	142943	-0.01184257	-0.01184257	0.009962291	-1.18874
Hs05	Hs09	Min02	142337	142928	-0.002071758	-0.002071758	0.009234195	-0.2243572
Hs06	Hs09	Min02	143184	142167	0.003564032	0.003564032	0.009581349	0.371976
Hs07	Hs09	Min02	143855	139951	0.01375588	0.01375588	0.009521975	1.444645
Hs08	Hs09	Min02	144496	141893	0.009089036	0.009089036	0.01052642	0.8634498
Min11	Hs10	Min02	137725	222512	-0.2353645	-0.2353645	0.02045463	-11.50666
Min01	Hs10	Min02	153310	191216	-0.1100236	-0.1100236	0.01895144	-5.805556
Min03	Hs10	Min02	153774	194466	-0.1168504	-0.1168504	0.01795403	-6.508312
Min04	Hs10	Min02	152046	189562	-0.1098218	-0.1098218	0.01847414	-5.944621
Min05	Hs10	Min02	150365	198065	-0.1368998	-0.1368998	0.01988874	-6.88328
Min06	Hs10	Min02	157862	189786	-0.09182852	-0.09182852	0.02077836	-4.41943
Min07	Hs10	Min02	149217	188102	-0.1152766	-0.1152766	0.01723419	-6.688834
Min08	Hs10	Min02	154333	185625	-0.09204666	-0.09204666	0.01752969	-5.2509
Min09	Hs10	Min02	147014	184230	-0.1123522	-0.1123522	0.01617263	-6.947061
Min10	Hs10	Min02	159866	192565	-0.09278128	-0.09278128	0.02166823	-4.281904
BosCrete01	Hs10	Min02	184348	173618	0.02997491	0.02997491	0.02750463	1.089813
BosCrete02	Hs10	Min02	181777	174469	0.02051391	0.02051391	0.02727712	0.7520556
BosCrete03	Hs10	Min02	180846	172597	0.02333898	0.02333898	0.0272919	0.8551614
BosCrete04	Hs10	Min02	182545	174027	0.02388858	0.02388858	0.02754621	0.8672185
BosCrete05	Hs10	Min02	181603	170951	0.03021381	0.03021381	0.02788444	1.083537
BosCrete06	Hs10	Min02	183569	173785	0.02737901	0.02737901	0.02755373	0.9936591
BosCrete07	Hs10	Min02	183204	173085	0.0284011	0.0284011	0.02777481	1.022549
BosCrete08	Hs10	Min02	182741	172679	0.02831017	0.02831017	0.02771137	1.021608
BosCrete09	Hs10	Min02	175271	167097	0.02387489	0.02387489	0.02772609	0.8610985
PSP01	Hs10	Min02	140213	141800	-0.0056274	-0.0056274	0.009142888	-0.6154948
PSP02	Hs10	Min02	139083	142781	-0.0131198	-0.0131198	0.00881423	-1.48848
PSP03	Hs10	Min02	144132	145168	-0.003581058	-0.003581058	0.009792915	-0.3656784
PSP07	Hs10	Min02	139207	144428	-0.01840746	-0.01840746	0.008477795	-2.171256
PSP08	Hs10	Min02	138865	143560	-0.01662388	-0.01662388	0.00737728	-2.253389
PSP09	Hs10	Min02	141321	147404	-0.02106849	-0.02106849	0.00889747	-2.367919
PSP12	Hs10	Min02	141318	143851	-0.008882452	-0.008882452	0.008792255	-1.010259
PSP15	Hs10	Min02	138469	146278	-0.02742435	-0.02742435	0.009382591	-2.922897
PSP20	Hs10	Min02	141290	141879	-0.00208003	-0.00208003	0.008990212	-0.2313661
Hs01	Hs10	Min02	139634	144290	-0.01639875	-0.01639875	0.009373112	-1.749553
Hs02	Hs10	Min02	143842	144342	-0.001735003	-0.001735003	0.009817542	-0.1767248
Hs03	Hs10	Min02	142286	141054	0.004348133	0.004348133	0.008943167	0.4861961
Hs04	Hs10	Min02	137536	145771	-0.02906741	-0.02906741	0.009496977	-3.060701
Hs05	Hs10	Min02	140765	146383	-0.01956482	-0.01956482	0.009245733	-2.116092
Hs06	Hs10	Min02	142332	146339	-0.01388085	-0.01388085	0.009186196	-1.511056
Hs07	Hs10	Min02	143619	144728	-0.00384606	-0.00384606	0.008472917	-0.453924
Hs08	Hs10	Min02	142783	145129	-0.008148323	-0.008148323	0.009884345	-0.8243665
Hs09	Hs10	Min02	140501	145459	-0.01733809	-0.01733809	0.00975149	-1.777994
Min11	BosAtns01	Min02	114063	208204	-0.2921211	-0.2921211	0.02527014	-11.55993
Min01	BosAtns01	Min02	118828	166031	-0.1657065	-0.1657065	0.02530008	-6.549644
Min03	BosAtns01	Min02	115885	165864	-0.1773884	-0.1773884	0.02534748	-6.998265
Min04	BosAtns01	Min02	117896	164736	-0.1657279	-0.1657279	0.02561249	-6.470587
Min05	BosAtns01	Min02	115479	172520	-0.1980597	-0.1980597	0.02513173	-7.880862
Min06	BosAtns01	Min02	111445	152751	-0.156346	-0.156346	0.02387338	-6.548971
Min07	BosAtns01	Min02	130985	179168	-0.1553524	-0.1553524	0.02769525	-5.60935
Min08	BosAtns01	Min02	125116	165709	-0.1395788	-0.1395788	0.0291075	-4.795286
Min09	BosAtns01	Min02	128456	174494	-0.1519657	-0.1519657	0.02845484	-5.340592
Min10	BosAtns01	Min02	102941	145004	-0.1696465	-0.1696465	0.02282592	-7.432186
BosCrete01	BosAtns01	Min02	57623	56246	0.01209284	0.01209284	0.008053119	1.501635
BosCrete02	BosAtns01	Min02	57508	59482	-0.01687324	-0.01687324	0.01090189	-1.547735
BosCrete03	BosAtns01	Min02	55158	55980	-0.00739621	-0.00739621	0.008051972	-0.9185588
BosCrete04	BosAtns01	Min02	55618	56206	-0.005258263	-0.005258263	0.009385277	-0.5602672
BosCrete05	BosAtns01	Min02	56946	55179	0.0157592	0.0157592	0.009333472	1.68846
BosCrete06	BosAtns01	Min02	56304	55829	0.004236041	0.004236041	0.009119108	0.4645236
BosCrete07	BosAtns01	Min02	57041	56287	0.006653254	0.006653254	0.007790708	0.8539986
BosCrete08	BosAtns01	Min02	56607	55794	0.007233032	0.007233032	0.009220627	0.7844403
BosCrete09	BosAtns01	Min02	54112	53920	0.001777251	0.001777251	0.008968554	0.1981647
PSP01	BosAtns01	Min02	171568	182064	-0.02968057	-0.02968057	0.02797844	-1.060837
PSP02	BosAtns01	Min02	172940	185992	-0.03636343	-0.03636343	0.02825037	-1.287185
PSP03	BosAtns01	Min02	174395	184789	-0.02893781	-0.02893781	0.02849895	-1.015399
PSP07	BosAtns01	Min02	175075	189510	-0.03959296	-0.03959296	0.02836846	-1.395668
PSP08	BosAtns01	Min02	173633	187686	-0.03889361	-0.03889361	0.02800097	-1.389009
PSP09	BosAtns01	Min02	173832	189257	-0.0424827	-0.0424827	0.02821742	-1.505549
PSP12	BosAtns01	Min02	173255	185050	-0.03291888	-0.03291888	0.0279134	-1.179322
PSP15	BosAtns01	Min02	173145	190317	-0.04724565	-0.04724565	0.02843087	-1.661773
PSP20	BosAtns01	Min02	173221	182819	-0.02695765	-0.02695765	0.02809988	-0.9593508
Hs01	BosAtns01	Min02	173573	187542	-0.03868297	-0.03868297	0.02840834	-1.361677
Hs02	BosAtns01	Min02	170760	180484	-0.02768446	-0.02768446	0.02763931	-1.001633
Hs03	BosAtns01	Min02	175093	182683	-0.02121439	-0.02121439	0.02792349	-0.7597328
Hs04	BosAtns01	Min02	172165	189492	-0.04791004	-0.04791004	0.02878968	-1.664139
Hs05	BosAtns01	Min02	172383	187207	-0.04122473	-0.04122473	0.02753453	-1.497201
Hs06	BosAtns01	Min02	169327	182533	-0.03753197	-0.03753197	0.0287109	-1.307238
Hs07	BosAtns01	Min02	174729	185116	-0.02886521	-0.02886521	0.02756012	-1.047354
Hs08	BosAtns01	Min02	170474	182073	-0.03290058	-0.03290058	0.02804356	-1.173195
Hs09	BosAtns01	Min02	171331	185588	-0.03994464	-0.03994464	0.0289901	-1.377872
Hs10	BosAtns01	Min02	173860	183155	-0.02603532	-0.02603532	0.02788577	-0.9336417
Min11	BosAtns02	Min02	113890	207423	-0.2910962	-0.2910962	0.02524297	-11.53177
Min01	BosAtns02	Min02	119214	165948	-0.1638858	-0.1638858	0.02534964	-6.465014
Min03	BosAtns02	Min02	116433	165974	-0.1754241	-0.1754241	0.02498142	-7.022184
Min04	BosAtns02	Min02	117802	164185	-0.1644863	-0.1644863	0.02532101	-6.49604
Min05	BosAtns02	Min02	116476	172952	-0.1951297	-0.1951297	0.02523613	-7.732158
Min06	BosAtns02	Min02	111099	152002	-0.155465	-0.155465	0.02378624	-6.535921
Min07	BosAtns02	Min02	130948	178712	-0.1542466	-0.1542466	0.02742528	-5.624248
Min08	BosAtns02	Min02	126023	166184	-0.1374402	-0.1374402	0.02912387	-4.719162
Min09	BosAtns02	Min02	128072	173746	-0.1513296	-0.1513296	0.0279298	-5.418214
Min10	BosAtns02	Min02	103566	145152	-0.1672014	-0.1672014	0.02324125	-7.194165
BosCrete01	BosAtns02	Min02	58060	56467	0.01390938	0.01390938	0.01101042	1.263293
BosCrete02	BosAtns02	Min02	58698	60472	-0.0148863	-0.0148863	0.01235041	-1.205328
BosCrete03	BosAtns02	Min02	56799	57451	-0.005706783	-0.005706783	0.01202129	-0.4747229
BosCrete04	BosAtns02	Min02	56170	56578	-0.003618689	-0.003618689	0.01187737	-0.3046711
BosCrete05	BosAtns02	Min02	57438	55365	0.01837717	0.01837717	0.01100864	1.669341
BosCrete06	BosAtns02	Min02	57558	56844	0.00624115	0.00624115	0.01048967	0.5949808
BosCrete07	BosAtns02	Min02	56255	55253	0.008985902	0.008985902	0.01045272	0.8596709
BosCrete08	BosAtns02	Min02	58118	57025	0.009492544	0.009492544	0.01085249	0.8746884
BosCrete09	BosAtns02	Min02	54685	54499	0.001703546	0.001703546	0.01101632	0.1546385
PSP01	BosAtns02	Min02	170956	181223	-0.02915279	-0.02915279	0.02751294	-1.059603
PSP02	BosAtns02	Min02	172504	185259	-0.03565209	-0.03565209	0.02786207	-1.279592
PSP03	BosAtns02	Min02	173456	183552	-0.02827948	-0.02827948	0.02816595	-1.004031
PSP07	BosAtns02	Min02	174674	188781	-0.03881361	-0.03881361	0.02790118	-1.39111
PSP08	BosAtns02	Min02	173398	187127	-0.03808058	-0.03808058	0.02765452	-1.377011
PSP09	BosAtns02	Min02	173154	188197	-0.04162988	-0.04162988	0.02786203	-1.494144
PSP12	BosAtns02	Min02	172551	184081	-0.03233025	-0.03233025	0.02743164	-1.178575
PSP15	BosAtns02	Min02	173067	189859	-0.04626839	-0.04626839	0.02797614	-1.653852
PSP20	BosAtns02	Min02	172831	182151	-0.02625485	-0.02625485	0.02764012	-0.9498821
Hs01	BosAtns02	Min02	173158	186770	-0.03781867	-0.03781867	0.02796107	-1.352547
Hs02	BosAtns02	Min02	170673	180195	-0.02713841	-0.02713841	0.02725117	-0.9958623
Hs03	BosAtns02	Min02	174753	182112	-0.02062124	-0.02062124	0.02745156	-0.7511867
Hs04	BosAtns02	Min02	171596	188583	-0.04716266	-0.04716266	0.02835481	-1.663304
Hs05	BosAtns02	Min02	172019	186547	-0.04051695	-0.04051695	0.02709867	-1.495164
Hs06	BosAtns02	Min02	169165	181970	-0.03646746	-0.03646746	0.02831462	-1.287937
Hs07	BosAtns02	Min02	174293	184409	-0.02820168	-0.02820168	0.02721175	-1.036379
Hs08	BosAtns02	Min02	170204	181560	-0.03228301	-0.03228301	0.02755202	-1.171711
Hs09	BosAtns02	Min02	170854	184843	-0.03932842	-0.03932842	0.02864358	-1.373028
Hs10	BosAtns02	Min02	173371	182378	-0.02531841	-0.02531841	0.02741775	-0.9234316
BosAtns01	BosAtns02	Min02	57325	57083	0.002115237	0.002115237	0.01150656	0.1838288
Min11	BosAtns03	Min02	112744	207997	-0.2969779	-0.2969779	0.02541442	-11.68541
Min01	BosAtns03	Min02	117946	166333	-0.1702095	-0.1702095	0.02508496	-6.785322
Min03	BosAtns03	Min02	116055	167250	-0.1807063	-0.1807063	0.02540418	-7.11325
Min04	BosAtns03	Min02	118088	166062	-0.1688334	-0.1688334	0.0255684	-6.603204
Min05	BosAtns03	Min02	115506	173616	-0.2009878	-0.2009878	0.02501833	-8.033623
Min06	BosAtns03	Min02	110771	153206	-0.1607526	-0.1607526	0.02392835	-6.718082
Min07	BosAtns03	Min02	129482	178808	-0.1599987	-0.1599987	0.02758924	-5.799315
Min08	BosAtns03	Min02	124307	166072	-0.1438293	-0.1438293	0.02900615	-4.958578
Min09	BosAtns03	Min02	127890	175160	-0.1559809	-0.1559809	0.02825423	-5.520621
Min10	BosAtns03	Min02	102481	145656	-0.1739966	-0.1739966	0.02269451	-7.666903
BosCrete01	BosAtns03	Min02	57172	57012	0.001401247	0.001401247	0.008072952	0.1735731
BosCrete02	BosAtns03	Min02	58315	61530	-0.02682632	-0.02682632	0.01100054	-2.438637
BosCrete03	BosAtns03	Min02	56240	58253	-0.01758186	-0.01758186	0.01025431	-1.714583
BosCrete04	BosAtns03	Min02	55506	57370	-0.0165137	-0.0165137	0.01031807	-1.600464
BosCrete05	BosAtns03	Min02	56689	56147	0.004803432	0.004803432	0.00841863	0.5705717
BosCrete06	BosAtns03	Min02	56091	56830	-0.006544398	-0.006544398	0.008559723	-0.7645573
BosCrete07	BosAtns03	Min02	56017	56459	-0.003929727	-0.003929727	0.007971663	-0.492962
BosCrete08	BosAtns03	Min02	56988	57419	-0.003767252	-0.003767252	0.008195233	-0.4596882
BosCrete09	BosAtns03	Min02	53853	55018	-0.01070074	-0.01070074	0.008859404	-1.207839
PSP01	BosAtns03	Min02	170738	182500	-0.03329766	-0.03329766	0.0279316	-1.192115
PSP02	BosAtns03	Min02	171821	186035	-0.03971989	-0.03971989	0.02825444	-1.405793
PSP03	BosAtns03	Min02	173366	184911	-0.03222367	-0.03222367	0.02852652	-1.129604
PSP07	BosAtns03	Min02	174313	189961	-0.04295668	-0.04295668	0.02831176	-1.517273
PSP08	BosAtns03	Min02	172972	188220	-0.04221577	-0.04221577	0.02806862	-1.50402
PSP09	BosAtns03	Min02	172815	189400	-0.04578772	-0.04578772	0.02830533	-1.617636
PSP12	BosAtns03	Min02	172455	185408	-0.03619542	-0.03619542	0.02782778	-1.300694
PSP15	BosAtns03	Min02	172420	190704	-0.05035195	-0.05035195	0.02843839	-1.770563
PSP20	BosAtns03	Min02	172392	183220	-0.03044892	-0.03044892	0.02797755	-1.088334
Hs01	BosAtns03	Min02	172697	187817	-0.04194012	-0.04194012	0.02837864	-1.477876
Hs02	BosAtns03	Min02	170056	180947	-0.03102822	-0.03102822	0.02768424	-1.12079
Hs03	BosAtns03	Min02	174353	183100	-0.02447035	-0.02447035	0.02788029	-0.8776934
Hs04	BosAtns03	Min02	171504	190030	-0.05124276	-0.05124276	0.02875824	-1.781846
Hs05	BosAtns03	Min02	171741	187796	-0.04465465	-0.04465465	0.0275151	-1.622915
Hs06	BosAtns03	Min02	168624	182921	-0.04066905	-0.04066905	0.02873204	-1.41546
Hs07	BosAtns03	Min02	173818	185412	-0.03227459	-0.03227459	0.02763941	-1.167702
Hs08	BosAtns03	Min02	169706	182521	-0.03638279	-0.03638279	0.02806522	-1.296365
Hs09	BosAtns03	Min02	170236	185643	-0.0432928	-0.0432928	0.0290505	-1.49026
Hs10	BosAtns03	Min02	173004	183537	-0.02954218	-0.02954218	0.02793369	-1.057582
BosAtns01	BosAtns03	Min02	55806	56987	-0.01047051	-0.01047051	0.009115648	-1.14863
BosAtns02	BosAtns03	Min02	55938	57432	-0.01317809	-0.01317809	0.01042151	-1.264508
Min11	BosAtns04	Min02	113169	207877	-0.2949982	-0.2949982	0.02522858	-11.69302
Min01	BosAtns04	Min02	117073	165102	-0.17021	-0.17021	0.02479424	-6.864899
Min03	BosAtns04	Min02	115485	166227	-0.1801201	-0.1801201	0.02529962	-7.11948
Min04	BosAtns04	Min02	115814	163447	-0.170568	-0.170568	0.02543186	-6.706864
Min05	BosAtns04	Min02	115751	173433	-0.1994647	-0.1994647	0.0250348	-7.967496
Min06	BosAtns04	Min02	110646	152792	-0.1599845	-0.1599845	0.0235638	-6.78942
Min07	BosAtns04	Min02	129150	178008	-0.1590647	-0.1590647	0.02724477	-5.838358
Min08	BosAtns04	Min02	123478	164887	-0.1435993	-0.1435993	0.02878123	-4.989337
Min09	BosAtns04	Min02	127065	173931	-0.1557031	-0.1557031	0.02826147	-5.509375
Min10	BosAtns04	Min02	102500	145324	-0.1728001	-0.1728001	0.02280147	-7.57846
BosCrete01	BosAtns04	Min02	56798	56504	0.002594835	0.002594835	0.00850668	0.305035
BosCrete02	BosAtns04	Min02	58002	60994	-0.0251437	-0.0251437	0.01148616	-2.189044
BosCrete03	BosAtns04	Min02	55855	57709	-0.0163256	-0.0163256	0.01038446	-1.572118
BosCrete04	BosAtns04	Min02	54535	56200	-0.0150359	-0.0150359	0.01042506	-1.442284
BosCrete05	BosAtns04	Min02	56199	55459	0.00662738	0.00662738	0.009023935	0.7344224
BosCrete06	BosAtns04	Min02	55746	56346	-0.005352746	-0.005352746	0.009614127	-0.5567584
BosCrete07	BosAtns04	Min02	56381	56735	-0.003129531	-0.003129531	0.008935431	-0.3502384
BosCrete08	BosAtns04	Min02	56718	56930	-0.001865409	-0.001865409	0.009476054	-0.196855
BosCrete09	BosAtns04	Min02	53141	54258	-0.01040047	-0.01040047	0.009836083	-1.057379
PSP01	BosAtns04	Min02	170181	181681	-0.03268327	-0.03268327	0.02783096	-1.174349
PSP02	BosAtns04	Min02	171674	185661	-0.03914254	-0.03914254	0.02798173	-1.398861
PSP03	BosAtns04	Min02	172544	183936	-0.03195691	-0.03195691	0.028385	-1.125838
PSP07	BosAtns04	Min02	173816	189177	-0.04231762	-0.04231762	0.02817287	-1.50207
PSP08	BosAtns04	Min02	172242	187241	-0.04172381	-0.04172381	0.02785026	-1.498148
PSP09	BosAtns04	Min02	172363	188744	-0.04536329	-0.04536329	0.02813346	-1.612432
PSP12	BosAtns04	Min02	171875	184702	-0.03597259	-0.03597259	0.02760091	-1.303312
PSP15	BosAtns04	Min02	172030	190151	-0.05003299	-0.05003299	0.02830939	-1.767364
PSP20	BosAtns04	Min02	171829	182452	-0.02998467	-0.02998467	0.02781708	-1.077923
Hs01	BosAtns04	Min02	172498	187359	-0.04129696	-0.04129696	0.0281601	-1.466506
Hs02	BosAtns04	Min02	169804	180520	-0.03058883	-0.03058883	0.02742074	-1.115536
Hs03	BosAtns04	Min02	173774	182381	-0.02416644	-0.02416644	0.02770725	-0.8722067
Hs04	BosAtns04	Min02	170911	189200	-0.05078712	-0.05078712	0.02854909	-1.77894
Hs05	BosAtns04	Min02	171171	186942	-0.04403917	-0.04403917	0.0273427	-1.610637
Hs06	BosAtns04	Min02	168281	182438	-0.04036565	-0.04036565	0.02853113	-1.414793
Hs07	BosAtns04	Min02	173421	184768	-0.03167881	-0.03167881	0.02739619	-1.156321
Hs08	BosAtns04	Min02	169505	182107	-0.03584064	-0.03584064	0.02779706	-1.289368
Hs09	BosAtns04	Min02	170046	185307	-0.04294603	-0.04294603	0.02884019	-1.489103
Hs10	BosAtns04	Min02	172416	182712	-0.02899236	-0.02899236	0.02777273	-1.043915
BosAtns01	BosAtns04	Min02	55938	56973	-0.009166512	-0.009166512	0.01030395	-0.8896116
BosAtns02	BosAtns04	Min02	55984	57151	-0.01031511	-0.01031511	0.01129741	-0.9130506
BosAtns03	BosAtns04	Min02	56940	56752	0.00165359	0.00165359	0.009644338	0.1714571
Min11	BosAtns05	Min02	110649	201725	-0.2915608	-0.2915608	0.02528675	-11.53018
Min01	BosAtns05	Min02	114483	160529	-0.1674327	-0.1674327	0.02512652	-6.663584
Min03	BosAtns05	Min02	111639	160619	-0.1799029	-0.1799029	0.02509025	-7.170231
Min04	BosAtns05	Min02	114301	159817	-0.1660453	-0.1660453	0.02585982	-6.420976
Min05	BosAtns05	Min02	112573	167926	-0.1973376	-0.1973376	0.02520135	-7.830436
Min06	BosAtns05	Min02	106825	147178	-0.1588682	-0.1588682	0.02365729	-6.715403
Min07	BosAtns05	Min02	126621	173487	-0.1561638	-0.1561638	0.02749642	-5.679422
Min08	BosAtns05	Min02	121021	160431	-0.1400239	-0.1400239	0.02880867	-4.860477
Min09	BosAtns05	Min02	124403	169075	-0.1522158	-0.1522158	0.02822077	-5.393752
Min10	BosAtns05	Min02	100176	141564	-0.1712087	-0.1712087	0.0223646	-7.655345
BosCrete01	BosAtns05	Min02	56226	56086	0.001246528	0.001246528	0.008379449	0.1487601
BosCrete02	BosAtns05	Min02	57194	60417	-0.0274039	-0.0274039	0.01134588	-2.415316
BosCrete03	BosAtns05	Min02	55509	57497	-0.01759199	-0.01759199	0.00924554	-1.902754
BosCrete04	BosAtns05	Min02	54168	55988	-0.01652202	-0.01652202	0.009687303	-1.705534
BosCrete05	BosAtns05	Min02	55402	54910	0.004460077	0.004460077	0.009466734	0.4711315
BosCrete06	BosAtns05	Min02	55551	56354	-0.007175729	-0.007175729	0.009764357	-0.7348901
BosCrete07	BosAtns05	Min02	55745	56275	-0.004731298	-0.004731298	0.008346534	-0.5668578
BosCrete08	BosAtns05	Min02	56477	56954	-0.0042052	-0.0042052	0.009519901	-0.4417272
BosCrete09	BosAtns05	Min02	52935	54218	-0.01197353	-0.01197353	0.008978661	-1.333554
PSP01	BosAtns05	Min02	165427	176367	-0.03200758	-0.03200758	0.0278693	-1.148489
PSP02	BosAtns05	Min02	166804	179992	-0.03802812	-0.03802812	0.0280917	-1.353714
PSP03	BosAtns05	Min02	167763	178533	-0.03110056	-0.03110056	0.02845013	-1.09316
PSP07	BosAtns05	Min02	169086	183643	-0.04126964	-0.04126964	0.02818927	-1.46402
PSP08	BosAtns05	Min02	167765	181928	-0.04050124	-0.04050124	0.02784156	-1.454704
PSP09	BosAtns05	Min02	167557	183058	-0.04421089	-0.04421089	0.02812127	-1.572151
PSP12	BosAtns05	Min02	166828	179006	-0.03521343	-0.03521343	0.02779556	-1.266872
PSP15	BosAtns05	Min02	167292	184459	-0.04880441	-0.04880441	0.02829484	-1.724852
PSP20	BosAtns05	Min02	167066	177121	-0.02921377	-0.02921377	0.02793614	-1.045734
Hs01	BosAtns05	Min02	167599	181713	-0.04040514	-0.04040514	0.02823811	-1.430872
Hs02	BosAtns05	Min02	164460	174641	-0.0300235	-0.0300235	0.02747337	-1.092822
Hs03	BosAtns05	Min02	168861	177058	-0.0236963	-0.0236963	0.02775134	-0.8538794
Hs04	BosAtns05	Min02	166051	183705	-0.05047519	-0.05047519	0.02861774	-1.763773
Hs05	BosAtns05	Min02	166189	181278	-0.04342571	-0.04342571	0.0274621	-1.581296
Hs06	BosAtns05	Min02	164140	177374	-0.03875097	-0.03875097	0.02848882	-1.360217
Hs07	BosAtns05	Min02	168777	179662	-0.03123933	-0.03123933	0.0274698	-1.137224
Hs08	BosAtns05	Min02	164570	176562	-0.03515355	-0.03515355	0.02787779	-1.260988
Hs09	BosAtns05	Min02	165295	179995	-0.04257291	-0.04257291	0.02891221	-1.472489
Hs10	BosAtns05	Min02	167731	177491	-0.02827166	-0.02827166	0.02775068	-1.018774
BosAtns01	BosAtns05	Min02	55094	56358	-0.01134121	-0.01134121	0.008446714	-1.342677
BosAtns02	BosAtns05	Min02	55851	57340	-0.01315476	-0.01315476	0.01138953	-1.154987
BosAtns03	BosAtns05	Min02	55925	55959	-0.0003038862	-0.0003038862	0.01000535	-0.03037236
BosAtns04	BosAtns05	Min02	56153	56321	-0.001493679	-0.001493679	0.009189713	-0.1625381
Min11	BosAtns06	Min02	113089	207917	-0.2954088	-0.2954088	0.0253573	-11.64985
Min01	BosAtns06	Min02	117234	165399	-0.1704153	-0.1704153	0.0249714	-6.82442
Min03	BosAtns06	Min02	115205	166067	-0.1808285	-0.1808285	0.02530677	-7.14546
Min04	BosAtns06	Min02	117167	164963	-0.1694113	-0.1694113	0.02540695	-6.667911
Min05	BosAtns06	Min02	115127	172920	-0.2006374	-0.2006374	0.02499829	-8.026044
Min06	BosAtns06	Min02	110200	152431	-0.1607998	-0.1607998	0.0237385	-6.773797
Min07	BosAtns06	Min02	129365	178341	-0.1591649	-0.1591649	0.02741585	-5.80558
Min08	BosAtns06	Min02	124616	166092	-0.1426724	-0.1426724	0.02899323	-4.920886
Min09	BosAtns06	Min02	127681	174625	-0.1552864	-0.1552864	0.02830287	-5.486594
Min10	BosAtns06	Min02	102223	145182	-0.1736384	-0.1736384	0.02255229	-7.699368
BosCrete01	BosAtns06	Min02	56618	56356	0.002319118	0.002319118	0.008187766	0.2832418
BosCrete02	BosAtns06	Min02	56864	59986	-0.02671801	-0.02671801	0.01040022	-2.568984
BosCrete03	BosAtns06	Min02	55604	57563	-0.0173107	-0.0173107	0.009632408	-1.797131
BosCrete04	BosAtns06	Min02	54967	56721	-0.01570446	-0.01570446	0.009853719	-1.59376
BosCrete05	BosAtns06	Min02	55496	54801	0.006301169	0.006301169	0.008153705	0.7727982
BosCrete06	BosAtns06	Min02	55142	55782	-0.005769716	-0.005769716	0.007628819	-0.7563053
BosCrete07	BosAtns06	Min02	55765	56052	-0.002566694	-0.002566694	0.008285893	-0.3097667
BosCrete08	BosAtns06	Min02	56558	56860	-0.002662717	-0.002662717	0.008444965	-0.3153023
BosCrete09	BosAtns06	Min02	53264	54272	-0.009373605	-0.009373605	0.008434157	-1.111386
PSP01	BosAtns06	Min02	170515	182007	-0.03259938	-0.03259938	0.02784842	-1.170601
PSP02	BosAtns06	Min02	171944	185946	-0.03912375	-0.03912375	0.02807932	-1.39333
PSP03	BosAtns06	Min02	173100	184556	-0.03203078	-0.03203078	0.02843193	-1.126578
PSP07	BosAtns06	Min02	173893	189311	-0.04244997	-0.04244997	0.02824329	-1.503011
PSP08	BosAtns06	Min02	172654	187701	-0.04175605	-0.04175605	0.02795947	-1.493449
PSP09	BosAtns06	Min02	172715	189134	-0.04537528	-0.04537528	0.02816352	-1.611137
PSP12	BosAtns06	Min02	172194	184991	-0.03582737	-0.03582737	0.02774037	-1.291525
PSP15	BosAtns06	Min02	172531	190607	-0.04977722	-0.04977722	0.02820967	-1.764545
PSP20	BosAtns06	Min02	172174	182765	-0.02983893	-0.02983893	0.02788556	-1.070049
Hs01	BosAtns06	Min02	172678	187596	-0.04140737	-0.04140737	0.02823555	-1.466498
Hs02	BosAtns06	Min02	169852	180633	-0.03076023	-0.03076023	0.02744467	-1.120809
Hs03	BosAtns06	Min02	174076	182704	-0.02418297	-0.02418297	0.02778963	-0.8702156
Hs04	BosAtns06	Min02	171146	189452	-0.05076567	-0.05076567	0.02862229	-1.773641
Hs05	BosAtns06	Min02	171413	187208	-0.04404371	-0.04404371	0.02736462	-1.609513
Hs06	BosAtns06	Min02	168752	182926	-0.04030391	-0.04030391	0.02851317	-1.413519
Hs07	BosAtns06	Min02	173826	185193	-0.03166128	-0.03166128	0.02742111	-1.154632
Hs08	BosAtns06	Min02	169798	182458	-0.03593977	-0.03593977	0.02785584	-1.290206
Hs09	BosAtns06	Min02	170402	185631	-0.04277412	-0.04277412	0.02885698	-1.48228
Hs10	BosAtns06	Min02	172891	183202	-0.02895592	-0.02895592	0.0277727	-1.042604
BosAtns01	BosAtns06	Min02	55609	56691	-0.009634907	-0.009634907	0.008633931	-1.115935
BosAtns02	BosAtns06	Min02	55104	56417	-0.01177357	-0.01177357	0.01021678	-1.152375
BosAtns03	BosAtns06	Min02	56226	56114	0.0009969735	0.0009969735	0.008336056	0.1195977
BosAtns04	BosAtns06	Min02	56044	56036	7.137759e-05	7.137759e-05	0.009303681	0.007671973
BosAtns05	BosAtns06	Min02	55590	55396	0.001747968	0.001747968	0.009486404	0.1842604
Min11	BosAtns07	Min02	112789	206461	-0.2934127	-0.2934127	0.02525983	-11.61578
Min01	BosAtns07	Min02	117898	165129	-0.1668781	-0.1668781	0.02483769	-6.718743
