H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
Min03	Hs02	Min11	143529	201662	-0.1684082	-0.1684082	0.02098661	-8.024556
Min04	Hs02	Min11	145359	192078	-0.1384525	-0.1384525	0.02234107	-6.197219
Min05	Hs02	Min11	141580	202331	-0.1766474	-0.1766474	0.02177112	-8.113842
Min06	Hs02	Min11	143637	206550	-0.1796554	-0.1796554	0.02304591	-7.795544
Min07	Hs02	Min11	143203	191067	-0.1431896	-0.1431896	0.0215892	-6.632467
Min08	Hs02	Min11	143217	199382	-0.163938	-0.163938	0.02062984	-7.946644
Min09	Hs02	Min11	140383	189857	-0.1498123	-0.1498123	0.02140925	-6.997548
Min10	Hs02	Min11	151445	191880	-0.1177747	-0.1177747	0.02488335	-4.733073
BosCrete01	Hs02	Min11	172295	185878	-0.03792301	-0.03792301	0.03078258	-1.231963
BosCrete02	Hs02	Min11	169406	188485	-0.05330953	-0.05330953	0.03075331	-1.733457
BosCrete03	Hs02	Min11	169506	184656	-0.04277703	-0.04277703	0.03093939	-1.382607
BosCrete04	Hs02	Min11	170630	185014	-0.04044494	-0.04044494	0.03084446	-1.311255
BosCrete05	Hs02	Min11	169639	183702	-0.03980008	-0.03980008	0.03099693	-1.284001
BosCrete06	Hs02	Min11	171482	185885	-0.04030311	-0.04030311	0.03078097	-1.309352
BosCrete07	Hs02	Min11	171178	184873	-0.03846359	-0.03846359	0.03095679	-1.242493
BosCrete08	Hs02	Min11	170146	185339	-0.04273879	-0.04273879	0.03062129	-1.395721
BosCrete09	Hs02	Min11	164635	177958	-0.03888871	-0.03888871	0.03084316	-1.260854
PSP01	Hs02	Min11	138266	135654	0.009535631	0.009535631	0.01066642	0.8939857
PSP02	Hs02	Min11	138097	134371	0.013675	0.013675	0.009849675	1.388371
PSP03	Hs02	Min11	141841	137219	0.01656275	0.01656275	0.01034244	1.601435
PSP07	Hs02	Min11	140320	135913	0.01595392	0.01595392	0.01037229	1.53813
PSP08	Hs02	Min11	137925	137043	0.003207646	0.003207646	0.009376048	0.3421106
PSP09	Hs02	Min11	139650	135718	0.01427907	0.01427907	0.009089054	1.571019
PSP12	Hs02	Min11	141416	138377	0.0108616	0.0108616	0.01020119	1.064739
PSP15	Hs02	Min11	137759	137112	0.002353831	0.002353831	0.01013049	0.2323513
PSP20	Hs02	Min11	142760	134937	0.02817099	0.02817099	0.00979137	2.877125
